province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
吉林,辽源市,214.7488,258.63843,59.18375,64.48224,2.3650963,28.281425,253.2572,85.5856,98125.13,6.327985,-1.6310067
吉林,通化市,123.75415,142.47667,33.24718,39.345184,1.2177908,12.850193,259.87668,92.5676,96158.5,3.328997,3.6465337
吉林,长春市,223.24538,275.4236,55.4816,62.828724,1.9946338,40.222153,251.60332,81.22293,100161.84,0.41306484,-3.999809
四川,乐山市,174.23978,191.65285,48.0463,15.7184105,1.3988842,46.69035,279.3411,68.349525,89564.92,1.3489877,-0.53128004
四川,内江市,182.59677,188.54376,33.6668,64.238106,2.5190027,21.17086,283.49338,42.78907,97231.68,-3.7209988,-2.4615204
四川,凉山彝族自治州,27.469172,31.00267,8.148464,4.527326,0.3427488,58.93277,280.13458,46.2092,74179.35,6.0666585,1.364922
四川,南充市,132.62076,138.98265,31.624887,25.559006,1.6816841,35.44877,282.2842,38.099255,97368.16,-4.895484,-0.9396959
四川,宜宾市,191.84062,237.96716,63.51045,29.249115,1.9440418,37.047573,282.59607,55.52777,95605.45,2.2865422,-1.70336
四川,巴中市,141.54704,155.51488,37.43328,11.330383,1.0799357,50.49683,278.47522,50.683235,92981.945,-2.1766183,-1.1958667
四川,广元市,143.66821,159.55635,38.435177,13.358614,1.1534967,40.376244,277.7527,58.461887,92036.4,-2.5295575,1.5744095
四川,广安市,88.951584,91.2107,24.194727,80.369514,2.165589,19.273945,282.4387,44.313717,97353.73,-3.6953063,3.109205
四川,德阳市,129.73892,150.82082,33.788433,35.17839,1.584781,18.448471,279.89716,57.205875,92340.77,-1.2399002,-0.18446158
四川,成都市,132.78603,159.22902,35.33199,38.47255,1.5990618,16.1688,280.9656,56.194187,94162.25,-0.7227028,-0.7402378
四川,攀枝花市,19.115635,21.97437,9.421206,7.711882,0.31605956,56.548492,286.0488,42.39494,81618.49,3.565788,3.3324313
四川,泸州市,124.9929,205.75133,51.997643,44.638004,2.193454,28.719343,282.4087,62.164055,93957.2,-0.30172154,2.0006278
四川,甘孜藏族自治州,2.2435727,2.6579337,0.6226073,1.1133558,0.11907857,70.86556,270.62,39.9172,61219.07,5.9401493,3.0695455
四川,眉山市,187.99622,206.85706,41.440033,31.388834,1.7473456,24.153559,281.70654,56.5344,94799.914,-0.5073118,-0.7356088
四川,绵阳市,117.55481,132.39162,33.50267,19.338985,1.196117,33.1846,277.68033,62.743896,88475.88,-0.5246572,0.11559593
四川,自贡市,191.69131,216.73343,51.27886,51.468758,2.3289275,21.749714,283.61774,46.57909,97155.61,-1.0083983,-3.4231198
四川,资阳市,193.01715,185.51498,27.461903,51.360157,2.2232752,25.444649,283.2646,41.45038,97322.625,-4.176843,-1.1392354
四川,达州市,106.68747,128.9133,38.362167,22.016167,1.2563596,36.607456,280.04437,41.187206,94639.24,-3.8058412,2.241494
四川,遂宁市,163.80125,127.029076,23.8393,43.75259,2.2467792,29.386097,282.9647,39.233986,97744.85,-5.5329537,-0.8714609
四川,阿坝藏族羌族自治州,7.2059436,8.859771,2.2951193,2.530582,0.19512899,72.66349,272.344,38.283974,65813.69,4.6209784,0.97520125
四川,雅安市,91.48091,107.396255,25.52584,9.998577,0.96225303,53.90713,276.84177,59.813015,79993.74,1.232127,-0.58717424
天津|天津,天津|天津,304.04486,420.19125,119.71843,92.8734,4.4095006,20.64328,270.14368,76.57237,102727.47,0.32398266,-2.4851046
安徽|安徽,亳州市,81.39779,129.74312,25.036917,51.18131,2.4080544,13.911382,274.4583,49.508835,102594.27,-0.9758212,7.131124
安徽|安徽,六安市,50.184353,69.2123,19.53863,46.316128,1.4493864,32.64918,274.82028,44.756134,100439.48,-1.7880462,4.4453254
安徽|安徽,合肥市,92.07448,112.14535,38.425568,63.287006,2.0353308,18.456436,274.02304,49.457325,102562.67,-3.8368988,4.1779437
安徽|安徽,安庆市,75.20442,91.7945,19.83595,38.21726,1.2639873,29.055283,274.85327,46.701935,100895.375,-2.0211587,-1.0278243
安徽|安徽,宣城市,73.88187,84.814316,20.199745,50.026726,0.9179693,34.396347,274.07587,50.389717,100507.19,-2.8881357,4.297492
安徽|安徽,宿州市,103.377945,137.3278,36.629066,57.35435,2.3454976,14.426244,273.43695,43.042206,102588.24,-0.08048322,6.991888
安徽|安徽,巢湖市,89.15841,128.45642,33.597324,70.25079,1.6203594,23.139883,274.437,50.20405,102701.45,-4.401863,2.4848087
安徽|安徽,池州市,56.386955,66.21853,12.012275,21.913366,0.7658285,34.835953,275.27216,43.17052,100728.664,-3.2252076,2.8637152
安徽|安徽,淮北市,82.66253,145.17448,46.40578,65.80111,2.7550766,10.1692505,273.90604,44.445312,102619.52,-0.5762685,7.243377
安徽|安徽,淮南市,85.94473,101.26552,37.6074,50.829292,2.3001752,9.325809,274.49915,51.0414,102698.79,-2.4377904,5.996382
安徽|安徽,滁州市,114.73205,163.81041,47.29525,62.794952,1.8069074,13.404833,273.32053,44.44883,102490.336,-2.1998932,4.6252193
安徽|安徽,芜湖市,78.62641,96.387,19.131552,58.556004,1.1766732,28.980038,274.20853,55.27641,102703.7,-3.6820312,1.4100503
安徽|安徽,蚌埠市,99.83602,117.83397,38.36285,54.65186,2.3036313,10.427455,273.71457,42.756615,102706.38,-1.1928648,6.2429204
安徽|安徽,铜陵市,75.27349,95.56844,23.142387,57.287037,1.3153164,24.081795,274.4647,50.52924,102599.086,-4.559015,1.2068896
安徽|安徽,阜阳市,85.77804,117.216805,20.565916,39.337593,1.910016,15.233204,274.64905,48.38446,102574.91,-1.6860709,6.7404294
安徽|安徽,马鞍山市,101.64771,144.10104,29.243008,84.068855,1.3134677,23.464308,273.4899,59.808655,103033.6,-4.9793158,1.6094407
安徽|安徽,黄山市,75.55961,84.72659,15.543046,23.402222,0.81631833,32.919735,273.85123,47.885036,98454.15,-4.330638,1.8648938
寧夏回族自治區|宁夏回族自治区,中卫市,91.00118,119.84947,48.43967,25.00441,1.2332908,29.030573,270.78348,56.26822,83529.76,-1.2175457,2.7786202
寧夏回族自治區|宁夏回族自治区,吴忠市,111.09732,155.88873,56.04366,23.388363,1.3792462,31.555834,271.08908,59.55127,85044.4,-1.2043415,3.4096117
寧夏回族自治區|宁夏回族自治区,固原市,119.44876,133.44443,32.421913,13.434641,0.9775652,34.03081,270.88593,83.85815,81063.99,0.27822095,5.1626244
寧夏回族自治區|宁夏回族自治区,石嘴山市,111.63753,208.696,318.58786,70.19834,2.4423923,7.2213655,269.09375,35.408215,87073.07,-1.7861336,0.06926519
寧夏回族自治區|宁夏回族自治区,银川市,101.785645,190.45032,149.34251,66.73581,1.8638479,18.645334,270.28122,40.818665,87268.35,-1.5594633,-0.1882026
山東|山东,东营市,187.18439,247.70943,61.06599,64.47728,1.7627962,9.629777,272.6036,64.83928,102781.7,7.1492257,1.1286134
山東|山东,临沂市,127.730125,182.76588,60.90801,66.15954,2.202133,16.42579,271.42618,51.24065,101040.85,3.4031014,4.2190504
山東|山东,威海市,166.95831,198.6143,60.274376,60.47803,1.5184014,7.170376,271.03043,63.03793,102133.81,6.7921867,2.1547275
山東|山东,德州市,185.67795,266.5667,59.241207,53.3272,1.9281886,34.621597,273.10397,58.154594,102607.48,2.3586774,5.805262
山東|山东,日照市,167.51395,200.26392,84.212456,70.90213,2.4787085,17.98014,270.9254,52.62409,101123.76,5.590021,3.6384873
山東|山东,枣庄市,117.92941,190.46654,75.18429,70.632904,2.2770581,9.070767,272.32224,50.80814,101683.18,0.1637914,6.0318327
山東|山东,泰安市,207.98099,315.40802,73.284996,64.83463,2.1658928,25.148932,271.33963,59.728245,100905.08,0.43889916,4.6901526
山東|山东,济南市,197.26428,298.7028,82.591835,69.233116,2.1898181,35.704178,272.6331,57.047543,101408.36,2.8142047,6.792125
山東|山东,济宁市,159.2323,234.78377,50.74616,60.218296,2.1500537,16.751556,273.0915,52.36325,102346.516,0.44232723,6.385616
山東|山东,淄博市,194.05156,307.74994,82.92138,76.85186,2.2456949,24.545025,271.63055,55.68222,100037.74,6.083347,4.8615184
山東|山东,滨州,187.18428,252.73569,59.61526,64.77852,1.9240669,21.982826,272.84146,61.46305,102737.34,5.8500667,2.688726
山東|山东,潍坊市,202.48785,248.9429,94.73771,76.33086,2.0961592,15.871373,271.75653,54.30284,101672.56,6.404969,2.7325687
山東|山东,烟台市,188.52084,220.96547,77.55548,68.96579,1.6026332,9.167391,270.78528,63.902462,101622.055,5.626174,2.2301648
山東|山东,聊城市,205.8254,283.00134,47.470863,52.14819,1.770301,22.737684,273.64505,56.10727,102351.24,0.87973726,6.838076
山東|山东,莱芜市,201.23967,331.77466,86.04763,77.340965,2.3189354,26.354507,269.44156,64.26251,99004.72,1.5200273,3.492398
山東|山东,菏泽市,155.78052,224.14734,36.21427,49.172947,2.626291,10.839818,274.4301,57.94102,102271.914,2.0047698,7.0584464
山東|山东,青岛市,189.72668,219.16672,107.15922,77.046165,1.8549786,17.829351,271.341,57.857555,102301.79,5.5384483,2.7297056
山西,临汾市,171.975,202.05785,99.51411,35.721424,1.7517116,19.5073,273.97195,59.738937,90530.52,0.70000106,1.833897
山西,吕梁市,137.9325,155.81894,81.570755,24.919247,1.2131853,26.651672,270.8105,60.357937,88069.58,0.12958765,-0.19348577
山西,大同市,98.94936,148.65231,94.9085,47.217476,1.5138494,17.984808,266.09506,41.470474,87626.766,2.2270567,-2.6845803
山西,太原市,148.92648,183.92136,92.13386,36.043858,1.6660408,17.525784,270.7992,50.947987,87903.03,1.4925267,-2.7421257
山西,忻州市,105.540726,117.354195,45.498756,25.240583,1.0976678,28.075668,268.76617,44.779526,86436.375,0.3059878,-0.761715
山西,晋中市,149.52484,195.56754,81.27135,39.024857,1.6353478,16.367487,272.40714,55.554905,88950.47,2.0304184,-0.32244757
山西,晋城市,206.45503,265.5307,136.85455,57.119434,3.2202334,28.148132,273.7411,54.824635,90911.64,1.3219966,-0.06831144
山西,朔州市,110.12019,144.00272,61.692696,36.295723,1.2226318,17.139975,265.6673,51.297478,87038.25,2.312547,-1.6019111
山西,运城县,228.65108,274.10492,93.569496,56.089314,3.1865044,10.241665,276.17105,57.32082,94708.734,-2.1689432,1.8912996
山西,长治市,197.35637,234.24532,108.20069,47.93002,1.522023,18.959381,272.98965,57.65841,89192.16,3.300655,1.0036364
山西,阳泉市,141.35408,210.22235,80.64645,47.165146,1.9092395,9.191117,272.51538,46.273693,90803.88,4.6055346,-2.1525745
廣東|广东,东莞市,100.790565,117.11461,17.086584,64.99639,1.5055103,22.07427,285.5942,56.13201,102286.25,-6.43015,-3.7338202
廣東|广东,中山市,108.98428,138.65715,21.59724,77.78051,1.5825067,20.928574,287.2311,60.921707,102267.06,-5.8029466,-4.2920547
廣東|广东,云浮市,97.54564,111.14535,13.1478405,35.93787,1.252708,36.399857,284.03302,60.700737,100172.71,-4.537403,-2.8171322
廣東|广东,佛山市,106.69706,140.94408,35.05239,81.764824,1.73364,12.205558,285.7994,57.380295,102328.7,-4.5255394,-3.8268845
廣東|广东,广州市,89.90777,97.27791,16.256075,57.622055,1.3408341,26.73461,284.36673,55.2931,101432.9,-5.187377,-4.0737114
廣東|广东,惠州市,79.4893,84.855606,8.271733,28.161713,1.3630425,35.672703,283.15997,52.78021,100401.805,-5.344916,-3.7182844
廣東|广东,揭阳市,40.870346,44.832573,12.07155,23.878967,0.49411115,33.77543,282.33517,55.45291,101182.8,-6.683427,-5.1279564
廣東|广东,梅州市,37.588024,39.331398,11.167764,20.273005,0.45808345,35.235332,280.7833,54.177284,98907.02,-5.3968124,-1.2978157
廣東|广东,汕头市,21.81828,28.144169,10.99858,18.310822,0.3445143,44.594757,283.20398,58.03698,102216.01,-6.774805,-7.3550153
廣東|广东,汕尾市,59.007496,59.796165,9.364421,25.118006,1.0111359,38.912003,282.9635,50.269154,100750.74,-6.866957,-4.744454
廣東|广东,江门市,116.188034,143.59326,25.93658,71.26358,1.6169811,21.358105,286.81964,62.69128,101635.766,-4.481192,-4.641082
廣東|广东,河源市,64.01727,62.67347,7.332554,18.075392,0.7505422,38.410267,281.18408,55.019245,99134.03,-2.8359804,-5.2534113
廣東|广东,深圳市,85.48467,115.43862,15.706768,62.380016,1.5738419,25.717838,286.16403,51.87516,101662.805,-7.1225553,-3.6295128
廣東|广东,清远市,70.67333,70.36726,9.03424,21.165346,0.7378247,35.15238,280.9293,52.657887,98587.0,-4.3640347,-3.774106
廣東|广东,湛江市,66.95596,84.84651,16.041052,15.854391,0.69786006,47.24339,289.09375,62.23267,102002.74,-6.481408,-2.4503033
廣東|广东,潮州市,26.33416,32.444916,11.381578,19.89154,0.35567924,40.358128,280.9903,54.505314,100480.164,-7.1831956,-6.0797405
廣東|广东,珠海市,81.27514,97.01909,19.446724,50.912712,1.2312443,36.848118,288.51166,63.771538,102240.3,-5.630337,-4.8735337
廣東|广东,肇庆市,79.20476,87.420746,10.073944,28.614092,1.0196316,38.436726,283.56378,51.51144,100251.25,-5.910519,-3.5110657
廣東|广东,茂名市,89.15748,95.313774,15.833923,17.98051,0.75434643,33.76218,285.5521,59.818787,100184.11,-6.553014,-2.8602035
廣東|广东,阳江市,103.832954,115.75861,15.61529,33.884903,1.0622792,30.216492,285.28653,62.062366,100759.695,-3.9454868,-5.065701
廣東|广东,韶关市,54.88438,54.504498,9.219796,14.840184,0.6030402,35.61483,279.22366,53.069183,97920.984,-3.971674,-3.9622087
廣西壯族自治區|广西壮族自治区,北海市,96.02602,111.40562,15.17242,15.709914,0.88431317,33.347115,287.59656,56.42212,102086.16,-5.857287,-3.457345
廣西壯族自治區|广西壮族自治区,南宁市,120.79973,148.5221,25.848974,35.167313,1.1863314,34.440777,284.52817,64.28411,100218.79,-3.4986413,-1.8051411
廣西壯族自治區|广西壮族自治区,崇左市,131.70432,160.99284,23.99493,22.952305,1.1531072,40.116547,284.02997,68.35078,98887.734,-3.2037704,0.006398687
廣西壯族自治區|广西壮族自治区,来宾市,100.32387,119.139595,27.506468,22.240345,0.89740443,34.416233,283.6086,61.50668,99067.09,-3.750358,-1.6718487
廣西壯族自治區|广西壮族自治区,柳州市,81.28066,92.726776,20.620358,14.696485,0.67432386,30.988379,281.56873,56.080296,98291.09,-4.523704,-0.76789874
廣西壯族自治區|广西壮族自治区,桂林市,76.64168,84.98119,14.788288,10.900089,0.62558174,31.821154,279.50366,56.078995,96743.164,-4.4449496,-2.2907686
廣西壯族自治區|广西壮族自治区,梧州市,87.126816,93.578415,12.072521,14.7906,0.787567,37.02388,283.76453,60.63877,99911.82,-5.4787264,-1.1618686
廣西壯族自治區|广西壮族自治区,河池市,108.87998,127.79542,23.662891,14.226499,0.8702153,36.92015,281.2922,68.174774,95925.18,-3.7839267,2.3850174
廣西壯族自治區|广西壮族自治区,玉林市,94.68712,105.88152,15.774274,15.281144,0.8079332,31.057764,285.45056,60.78588,100298.84,-5.876617,-2.498526
廣西壯族自治區|广西壮族自治区,百色市,124.88244,141.27689,22.961632,9.56526,0.94442874,47.11413,281.43744,74.90968,93798.32,-2.6561825,4.3351765
廣西壯族自治區|广西壮族自治区,贵港市,100.46476,114.4986,15.96534,14.636607,0.8671956,34.68386,284.71548,58.952694,100758.445,-4.7611012,-3.099717
廣西壯族自治區|广西壮族自治区,贺州市,82.51121,87.966286,11.67857,12.2991,0.6546206,33.10558,281.5299,59.870377,97972.71,-4.3473215,-2.7934787
廣西壯族自治區|广西壮族自治区,钦州市,107.771065,128.43266,16.592964,21.98545,1.0607928,32.19831,285.99072,58.964893,101367.41,-4.4936543,-3.8332727
廣西壯族自治區|广西壮族自治区,防城港市,118.98871,142.58289,19.155699,19.935608,1.0590792,37.199677,284.71997,66.256195,99721.37,-3.4281435,-3.6060908
新疆維吾爾自治區|新疆维吾尔自治区,乌鲁木齐市,25.75536,34.18211,5.2279143,20.16042,0.7939191,57.475426,263.7768,40.844105,80554.38,2.1609616,-0.33369872
新疆維吾爾自治區|新疆维吾尔自治区,伊犁哈萨克自治州,4.557374,5.302251,3.3500555,2.733166,0.17246345,63.5706,263.76355,37.246315,80462.195,1.1619409,0.77429086
新疆維吾爾自治區|新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,5.13882,5.622694,1.2932932,0.97268516,0.16749188,71.321266,258.92874,64.285545,69747.6,2.86567,-3.9897768
新疆維吾爾自治區|新疆维吾尔自治区,克拉玛依市,15.861335,18.126196,17.847284,11.818732,0.25319138,44.765835,258.28586,79.89678,98461.77,-0.3040935,-0.20772247
新疆維吾爾自治區|新疆维吾尔自治区,博尔塔拉蒙古自治州,9.4706335,10.510052,5.3730125,3.4757698,0.20777602,57.492992,262.8274,57.43926,86878.5,2.5691485,1.3666168
新疆維吾爾自治區|新疆维吾尔自治区,吐鲁番地区,6.3489327,7.399771,2.4047728,1.716048,0.24590212,63.6875,265.2906,53.87378,90521.56,0.38071015,-0.78446156
新疆維吾爾自治區|新疆维吾尔自治区,和田地区,10.8654995,11.79997,2.2280905,1.0514076,0.2193516,60.187,260.89084,66.52408,74713.78,5.1254144,0.95918596
新疆維吾爾自治區|新疆维吾尔自治区,哈密地区,3.1988013,3.4965405,1.5098314,0.98765916,0.14313108,61.68693,265.4472,41.241535,88384.87,-1.6590507,-0.0063126087
新疆維吾爾自治區|新疆维吾尔自治区,喀什地区,19.27641,21.205818,4.813199,3.1209671,0.26681176,61.75119,261.06927,70.32347,76710.81,4.5323844,0.5538964
新疆維吾爾自治區|新疆维吾尔自治区,塔城地区,10.871131,12.216525,7.2446604,5.770281,0.23250747,53.419907,261.2576,68.4086,89725.305,2.5098832,-0.42772737
新疆維吾爾自治區|新疆维吾尔自治区,巴音郭愣蒙古自治州,7.829437,8.456871,2.3289046,0.6885449,0.18334948,63.071693,264.7834,57.94481,78977.14,2.8243368,0.29070783
新疆維吾爾自治區|新疆维吾尔自治区,昌吉回族自治州,19.479326,21.98012,6.2152343,12.131774,0.36920425,56.02673,262.22937,62.968773,90581.87,1.1136576,-0.07993553
新疆維吾爾自治區|新疆维吾尔自治区,石河子市,87.934975,108.93123,43.964188,71.582,1.1182064,11.516219,262.2028,68.39899,95258.66,0.2728789,0.5796272
新疆維吾爾自治區|新疆维吾尔自治区,阿克苏地区,10.169251,11.231018,4.476156,2.3613384,0.19176403,60.639652,265.87997,60.386753,85551.11,0.915377,-1.4505155
新疆維吾爾自治區|新疆维吾尔自治区,阿勒泰地区,2.9031157,3.2080088,1.4265584,1.1170089,0.18567447,61.09171,261.14932,77.72821,88837.414,-1.2650687,3.1545455
江蘇|江苏,南京市,108.90992,161.6187,43.608505,83.11101,1.4280622,20.281284,273.44894,55.734196,102896.836,-3.768979,2.851026
江蘇|江苏,南通市,163.53374,191.07901,50.51755,65.51554,1.400068,16.546558,273.50488,64.938225,103114.95,0.12123704,1.1729553
江蘇|江苏,宿迁市,98.86353,114.79959,31.466282,45.92056,1.3618137,29.931808,273.45978,47.810387,102910.75,0.34918872,6.3477616
江蘇|江苏,常州市,122.263405,151.69717,47.48056,91.36595,1.4444716,23.337408,274.0097,63.606373,102975.234,-2.8761,2.166995
江蘇|江苏,徐州市,95.22611,126.93616,45.864914,56.584606,2.1527421,17.946291,272.98337,44.173466,102576.29,0.7346624,6.8779073
江蘇|江苏,扬州市,132.32542,174.91753,50.613235,69.249084,1.67334,16.273352,273.0454,49.081802,103050.57,-1.1983514,3.63868
江蘇|江苏,无锡市,136.1732,150.56181,66.23187,94.87987,1.6850994,15.846085,274.31766,62.262432,102895.336,-2.11682,2.1907592
江蘇|江苏,泰州市,163.92427,207.50562,54.938137,74.23039,1.8797498,20.858511,272.9367,53.38034,103029.19,-0.39094022,2.8383229
江蘇|江苏,淮安市,113.639435,166.35248,49.092236,62.435047,1.509528,23.050438,273.14197,46.99435,102938.78,-0.31287673,5.5971527
江蘇|江苏,盐城市,135.87398,173.32104,39.848793,58.66649,1.3672799,42.55063,272.30328,49.027405,103036.51,1.7507113,4.4900203
江蘇|江苏,苏州市,141.96379,148.3914,46.42619,87.66529,1.4762881,7.916759,274.61896,66.24315,103082.5,-1.674798,1.4157449
江蘇|江苏,连云港市,68.57507,90.861916,42.45036,49.13853,1.6015372,41.54509,272.11417,51.83511,102789.67,2.1422849,5.800254
江蘇|江苏,镇江市,125.119774,169.24664,49.93961,84.50021,1.5913911,22.682913,273.37497,57.94129,102938.266,-2.4257457,2.3037617
江西,上饶市,68.413765,82.029236,13.853537,24.512133,0.77341884,27.014683,276.216,44.75022,100575.96,-4.6574244,-0.7805772
江西,九江市,83.69383,94.89383,12.41415,25.837658,1.0187969,30.702505,276.39066,57.86829,100372.9,-2.8560278,0.6047609
江西,南昌市,96.97307,139.6809,18.309256,36.579414,1.5459496,29.258884,278.33875,51.367573,102424.77,-2.5447204,-1.5378741
江西,吉安市,60.46157,66.39081,11.4612055,16.813564,0.70413005,31.586126,277.32138,54.8858,99932.91,-3.2426803,-2.2673464
江西,宜春市,101.261345,135.88843,18.225227,38.197178,1.5419078,20.962349,276.6059,59.65449,100389.96,-3.491409,-1.2886043
江西,抚州市,48.311115,60.45031,9.091817,16.225307,0.60583097,37.19599,277.0167,46.795013,99966.04,-3.1432424,-1.7223746
江西,新余市,99.063545,127.43667,19.436289,43.786438,1.3689142,17.11297,277.40933,57.216454,101408.74,-4.0757613,-1.9272411
江西,景德镇市,61.677963,74.15933,12.139612,21.480919,0.66588855,27.603106,275.8525,43.910027,101392.41,-4.57489,-0.2579808
江西,萍乡市,121.75141,126.213,25.374626,10.22379,1.9274344,21.69046,277.3646,51.39576,98923.984,-6.025674,0.41549283
江西,赣州市,34.532223,38.01761,8.44761,9.9359665,0.3976283,39.069702,277.9983,55.151527,98210.945,-2.2301104,-4.560451
江西,鹰潭市,67.63642,83.23089,12.350984,25.91059,0.7701717,21.571802,276.30496,46.182003,101243.06,-5.650485,-0.90016836
河北,保定市,298.82477,395.7302,140.02814,90.89512,4.439989,29.994684,271.68054,51.20153,98711.17,-1.2692553,-2.9551094
河北,唐山市,358.20316,440.17157,134.18524,116.30104,5.4820323,6.0420985,267.90842,71.016846,102195.43,-1.4177303,-4.5140896
河北,廊坊市,361.44882,504.05734,145.21689,100.01633,5.8325844,27.297869,270.50925,72.46884,102745.99,0.29846665,-2.573806
河北,张家口市,68.94525,111.49369,60.688644,42.359825,1.2986155,35.139343,261.95334,56.619995,88136.29,3.3557515,-3.2911904
河北,承德市,89.5328,116.9044,45.458736,49.47519,2.0057395,25.147364,262.17426,52.692394,91624.625,1.6981252,-6.214152
河北,沧州市,235.5262,280.73352,91.90363,56.507545,2.6927714,20.70568,272.53043,69.018616,102719.016,1.8989892,1.788846
河北,石家庄市,268.00174,443.67462,143.8922,81.07336,4.0941057,11.878791,274.37875,46.94489,99290.92,0.514109,-1.4910867
河北,秦皇岛市,310.80927,415.81668,120.53472,94.91145,6.3611584,12.0005,266.79626,55.366898,99854.945,-3.1369045,-6.148788
河北,衡水市,212.06592,314.88226,66.78804,54.86721,2.4032598,11.53895,273.21466,62.821484,102526.625,0.048425008,4.4052086
河北,邢台市,231.28685,358.365,88.412605,68.497574,2.8378994,6.9671016,274.99338,53.66464,100876.13,-0.28190467,2.1590312
河北,邯郸市,239.27907,303.77692,80.09547,65.53941,2.108391,7.7694106,275.6647,51.43303,100314.375,2.0287318,3.481662
河南,三门峡市,169.1509,204.2613,49.5688,35.25266,2.1848478,25.4219,274.86365,64.43902,92274.92,2.27621,5.0883765
河南,信阳市,117.40543,127.87557,28.220749,52.098667,1.2280321,18.566137,275.99982,51.71148,101470.21,-0.058145232,5.840743
河南,南阳市,164.28569,197.98035,53.29754,31.59151,1.7468208,15.994906,275.54126,59.21127,99217.41,0.8907901,2.3658013
河南,周口市,171.54887,248.32605,46.37298,48.080128,3.5480492,14.439889,275.4484,59.54811,102238.6,1.0582945,7.319657
河南,商丘市,128.55856,197.14195,33.11243,49.35969,3.0217905,14.082886,274.62015,57.664856,102360.47,0.891547,7.4702277
河南,安阳市,231.69724,292.49002,83.46391,69.62709,2.5354326,16.418737,276.4522,48.371727,99705.695,3.0366688,4.261551
